logFC	ID	adj.P.Val	P.Value	t	B	Gene.symbol
-1.11511772	ILMN_2755534	0.027155	3.11E-04	6.3079415	0.76112	Sepx1
-1.11344315	ILMN_1245710	0.001481	1.23E-06	14.0811117	5.96948	Ccl2
-1.10759638	ILMN_2742068	0.013723	9.18E-05	7.601066	1.99678	Csrp3
-1.10673274	ILMN_3112268	0.009041	4.47E-05	8.4574882	2.71028	Dnmt3l
-1.10129711	ILMN_2606162	0.047198	7.75E-04	5.451292	-0.17906	Pdlim4
-1.10109475	ILMN_2702141	0.131044	4.37E-03	4.0336448	-1.97671	Mefv
-1.09706875	ILMN_2940195	0.012183	7.37E-05	7.8540996	2.2156	Mgst1
-1.09624295	ILMN_1216386	0.13377	4.53E-03	4.0072179	-2.01313	Cd86
-1.09517387	ILMN_1257444	0.024646	2.62E-04	6.4809452	0.93862	Slc37a2
-1.09432739	ILMN_1214634	0.288609	1.61E-02	3.0979992	-3.3219	Aqp9
-1.09309624	ILMN_2688888	0.035852	5.06E-04	5.8407494	0.26135	Gca
-1.08848539	ILMN_2740151	0.026824	3.03E-04	6.3354124	0.78957	Chpt1
-1.0877988	ILMN_1254692	0.01024	5.34E-05	8.2387475	2.53522	Ms4a6b
-1.08534949	ILMN_1216335	0.094706	2.53E-03	4.4567955	-1.40773	Cttnbp2nl
-1.08369419	ILMN_1250019	0.007652	3.15E-05	8.8999696	3.05033	B4galt6
-1.08304696	ILMN_2770066	0.10934	3.22E-03	4.2683888	-1.65771	
-1.08221494	ILMN_1224754	0.325606	1.98E-02	2.9552487	-3.5351	Ckb
-1.08026342	ILMN_1238486	0.031301	3.88E-04	6.0933146	0.53529	Ctsc
-1.07890671	ILMN_1233987	0.063855	1.32E-03	4.9885636	-0.73179	Hipk2
-1.07855763	ILMN_1247682	0.02032	1.94E-04	6.7894638	1.24544	Atp6v0a1
-1.07703201	ILMN_3135781	0.04779	8.01E-04	5.4219065	-0.2132	Anxa3
-1.07575291	ILMN_3131766	0.005799	1.86E-05	9.6068716	3.5572	Trex1
-1.07433461	ILMN_3163347	0.014437	1.01E-04	7.4891037	1.8977	Mtus1
-1.06436127	ILMN_2669714	0.147775	5.32E-03	3.8862684	-2.18112	Ctsa
-1.06322171	ILMN_1221016	0.167331	6.55E-03	3.7339498	-2.39561	Alox5
-1.06243216	ILMN_1239430	0.118258	3.65E-03	4.1715023	-1.78837	Mrc1
-1.05828772	ILMN_2818678	0.194853	8.41E-03	3.5527024	-2.65488	Tdrd7
-1.05523619	ILMN_1259764	0.109648	3.24E-03	4.2636666	-1.66405	
-1.05401086	ILMN_1249727	0.139245	4.85E-03	3.9563234	-2.08356	Car13
-1.05259437	ILMN_2526935	0.018315	1.66E-04	6.9520731	1.4023	
-1.0518769	ILMN_2810882	0.364549	2.38E-02	2.8310351	-3.72156	Ppic
-1.04796554	ILMN_1252032	0.115366	3.50E-03	4.2032905	-1.74535	Ankrd22
-1.04626806	ILMN_2924839	0.004786	1.19E-05	10.2351989	3.9734	Oas1a
-1.04602113	ILMN_2588737	0.017378	1.51E-04	7.0504161	1.49559	Rab3d
-1.04394322	ILMN_2707865	0.004666	1.06E-05	10.4070319	4.08201	Epsti1
-1.04244823	ILMN_3008859	0.136007	4.64E-03	3.9883906	-2.03914	Ctsc
-1.04115519	ILMN_1248388	0.098671	2.71E-03	4.4037424	-1.47757	
-1.03909503	ILMN_2602938	0.119869	3.74E-03	4.1534935	-1.81281	Smpdl3b
-1.0384055	ILMN_2611000	0.014567	1.03E-04	7.4685083	1.87932	Il1r2
-1.03562846	ILMN_1241171	0.020566	1.98E-04	6.7681455	1.22463	Anxa3
-1.0330456	ILMN_1214396	0.410115	2.89E-02	2.7003654	-3.91828	
-1.03228314	ILMN_2662322	0.162271	6.18E-03	3.7765159	-2.33535	Ebi3
-1.03043658	ILMN_2692316	0.473006	3.77E-02	2.5229533	-4.1855	Dpep2
-1.02998359	ILMN_1231439	0.045407	7.36E-04	5.4980158	-0.12504	Aatk
-1.02969756	ILMN_1247540	0.157766	5.87E-03	3.8134343	-2.28329	Vcan
-1.02885139	ILMN_1213020	0.203778	9.05E-03	3.5004502	-2.73039	
-1.02866561	ILMN_2671923	0.203334	9.02E-03	3.5027163	-2.72711	Ly86
-1.02707103	ILMN_3153285	0.011464	6.46E-05	8.010274	2.34722	Evi2a
-1.0251346	ILMN_2619316	0.147775	5.34E-03	3.8838209	-2.18454	Prnp
-1.02199585	ILMN_2675587	0.009637	4.92E-05	8.3388314	2.6159	Ublcp1
-1.01739402	ILMN_2740152	0.007393	2.97E-05	8.9773997	3.10798	Chpt1
-1.01654595	ILMN_2870696	0.217325	1.01E-02	3.4222188	-2.84405	Hfe
-1.01641542	ILMN_2948143	0.006873	2.46E-05	9.2224362	3.28689	Slc7a11
-1.0151178	ILMN_2656268	0.161708	6.15E-03	3.7801068	-2.33028	Fmnl2
-1.01205452	ILMN_2483811	0.068118	1.47E-03	4.8999954	-0.84133	Ralgps2
-1.01010913	ILMN_1226639	0.057259	1.07E-03	5.1668627	-0.51495	
-1.00440459	ILMN_2619408	0.121248	3.84E-03	4.1323831	-1.84153	Atf3
-1.00210676	ILMN_1235399	0.443114	3.31E-02	2.610039	-4.05437	Mcpt8
1.00063704	ILMN_2618302	0.015815	1.23E-04	-7.2721253	1.70163	Hoxa2
1.00274983	ILMN_1249486	0.006593	2.20E-05	-9.3748109	3.39551	Clec10a
1.00741835	ILMN_3154419	0.042462	6.67E-04	-5.587263	-0.02277	P2ry14
1.01076635	ILMN_1255006	0.03114	3.84E-04	-6.1040605	0.54675	Rpe
1.01181389	ILMN_2708203	0.054304	9.90E-04	-5.2359473	-0.43224	Cdkn1c
1.01479958	ILMN_2717678	0.009637	4.90E-05	-8.3427098	2.61901	Muc13
1.01724727	ILMN_2711355	0.008121	3.56E-05	-8.7435643	2.93223	Dmwd
1.01863433	ILMN_1218347	0.055649	1.02E-03	-5.2059227	-0.4681	Mylk
1.01926147	ILMN_1233589	0.016113	1.29E-04	-7.220581	1.65425	Cd27
1.022772	ILMN_2993836	0.031801	4.04E-04	-6.0547361	0.49403	Dlg3
1.02604978	ILMN_2670625	0.008034	3.47E-05	-8.7743155	2.95563	Pmaip1
1.02867839	ILMN_2445658	0.026633	2.99E-04	-6.3483182	0.8029	
1.03173284	ILMN_1221501	0.007714	3.23E-05	-8.8658319	3.02475	5730469M10Rik
1.03221503	ILMN_2652719	0.054193	9.81E-04	-5.2441897	-0.42242	Ptprcap
1.03449888	ILMN_1232261	0.005537	1.65E-05	-9.7707337	3.66872	Ctnnal1
1.03632819	ILMN_2624713	0.004352	7.79E-06	-10.8766926	4.36815	Mast4
1.03671442	ILMN_2648098	0.015593	1.16E-04	-7.3385806	1.76225	Srgap3
1.03931443	ILMN_2420939	0.047256	7.84E-04	-5.4418759	-0.18998	Cdkn2c
1.04495328	ILMN_2685769	0.024914	2.68E-04	-6.4559513	0.91322	
1.04630643	ILMN_1249021	0.131369	4.39E-03	-4.0312773	-1.97997	Bcl2
1.05318601	ILMN_1251193	0.235134	1.14E-02	-3.3379437	-2.96725	Med23
1.05729948	ILMN_2471128	0.006873	2.53E-05	-9.189377	3.26306	
1.0726837	ILMN_2686721	0.088796	2.27E-03	-4.541791	-1.29674	Tap2
1.08407584	ILMN_1220726	0.075342	1.72E-03	-4.76853	-1.00616	Satb1
1.0851321	ILMN_1248837	0.09465	2.53E-03	-4.4579215	-1.40625	Tbxa2r
1.08542996	ILMN_1237868	0.00186	1.98E-06	-13.1862582	5.57635	Cd24a
1.08756231	ILMN_3002095	0.007393	2.97E-05	-8.9755212	3.10658	Il27ra
1.09343211	ILMN_2693403	0.005553	1.67E-05	-9.7563744	3.65903	Cela1
1.09857941	ILMN_2646891	0.004666	1.02E-05	-10.4650549	4.1182	Arap2
1.1050805	ILMN_1377923	0.363178	2.36E-02	-2.8359204	-3.71421	Actb
1.1129156	ILMN_2817714	0.024428	2.58E-04	-6.4956606	0.95353	Tspan17
1.12295008	ILMN_2669982	0.006731	2.37E-05	-9.2755831	3.325	1700025G04Rik
1.1261359	ILMN_2914010	0.01088	6.02E-05	-8.0930439	2.41595	Dmwd
1.12951889	ILMN_2422982	0.134304	4.56E-03	-4.0017653	-2.02066	Synpo
1.13031112	ILMN_1257463	0.056637	1.06E-03	-5.1783254	-0.50117	Bcl11a
1.13280792	ILMN_2421925	0.48842	4.00E-02	-2.484291	-4.24364	Wdfy1
1.13570542	ILMN_1243942	0.003256	4.31E-06	-11.8222225	4.90011	Adam17
1.14021428	ILMN_2591361	0.173354	6.96E-03	-3.6888494	-2.45973	
1.14362568	ILMN_1217389	0.016571	1.39E-04	-7.1428118	1.58216	Pkib
1.14433413	ILMN_2775064	0.167401	6.56E-03	-3.7325846	-2.39755	
1.15434398	ILMN_2654074	0.032579	4.32E-04	-5.9910549	0.42546	Sesn1
1.15458376	ILMN_2645448	0.033039	4.43E-04	-5.9654788	0.39776	Armcx1
1.159707	ILMN_2622255	0.001105	6.92E-07	-15.2543516	6.43279	Ephb2
1.16031362	ILMN_1246006	0.022098	2.19E-04	-6.6630271	1.12118	
1.16451841	ILMN_1249366	0.00186	2.05E-06	-13.1243351	5.54775	Bcl2
1.1647548	ILMN_2712044	0.011967	7.11E-05	-7.8966518	2.25172	Bcl11a
1.17250161	ILMN_2772930	0.064555	1.35E-03	-4.9714121	-0.75291	Gfi1b
1.1790926	ILMN_2645208	0.179645	7.40E-03	-3.6452421	-2.52198	Arhgef3
1.17959693	ILMN_2604263	0.031965	4.07E-04	-6.0481335	0.48695	8430410A17Rik
1.17977244	ILMN_1218127	0.0253	2.74E-04	-6.4353882	0.89226	Pcp4l1
1.18575926	ILMN_1228366	0.015225	1.11E-04	-7.3883445	1.80732	Cdkn2c
1.21194158	ILMN_2690603	0.082201	2.00E-03	-4.6475377	-1.16022	Spp1
1.21273762	ILMN_1251178	0.004299	7.60E-06	-10.9148264	4.39072	Hs3st3b1
1.21464151	ILMN_2479690	0.022311	2.24E-04	-6.6400221	1.09835	1700048O20Rik
1.21957599	ILMN_2706514	0.001141	7.56E-07	-15.0703663	6.36374	Bcl2
1.22220864	ILMN_2918499	0.005485	1.60E-05	-9.8155736	3.69886	Abcb1b
1.22275435	ILMN_1224644	0.006873	2.48E-05	-9.2133541	3.28035	Elk3
1.22454851	ILMN_2716146	0.08435	2.09E-03	-4.6100893	-1.20837	Chga
1.23771743	ILMN_1256463	0.004134	6.94E-06	-11.0557695	4.47328	Tmem159
1.25739286	ILMN_2513451	0.009041	4.47E-05	-8.4555239	2.70873	Klhl24
1.2591659	ILMN_2594718	0.005692	1.76E-05	-9.6779814	3.60586	Adam17
1.25933612	ILMN_1220270	0.004571	8.84E-06	-10.6819596	4.25137	Mef2c
1.26778282	ILMN_2686435	0.00186	2.05E-06	-13.1170981	5.5444	Eya1
1.27524651	ILMN_1217855	0.004571	8.99E-06	-10.6576911	4.23664	Nkg7
1.28334703	ILMN_2628174	0.105506	3.02E-03	-4.3188217	-1.59026	Acss1
1.30306978	ILMN_1250001	0.086276	2.18E-03	-4.5769274	-1.25119	Mgarp
1.30953071	ILMN_1254031	0.007652	3.16E-05	-8.8955641	3.04704	Klf9
1.30982865	ILMN_2895557	0.001572	1.52E-06	-13.6797327	5.79769	Gfi1b
1.31151682	ILMN_2790373	0.051224	8.99E-04	-5.3203092	-0.33222	Snn
1.31976417	ILMN_1220398	0.006675	2.30E-05	-9.3151704	3.35323	Armcx2
1.33415547	ILMN_2744660	0.002655	3.22E-06	-12.3156393	5.15634	
1.33880157	ILMN_2484527	0.015324	1.13E-04	-7.3706113	1.79129	Vegfa
1.35236376	ILMN_2731908	0.060269	1.20E-03	-5.0718297	-0.62992	
1.35416569	ILMN_3141165	0.008198	3.67E-05	-8.7044542	2.90234	Gimap1
1.3672418	ILMN_2771034	0.005703	1.80E-05	-9.6492393	3.58624	Mfge8
1.38730797	ILMN_2473562	0.04401	7.01E-04	-5.5421194	-0.07436	Lat2
1.39301677	ILMN_2727309	0.005363	1.54E-05	-9.8688779	3.73449	
1.40972965	ILMN_2692615	0.015787	1.20E-04	-7.3014742	1.72847	Tgm2
1.41268287	ILMN_3160137	0.070987	1.55E-03	-4.856097	-0.89607	Aldoc
1.41398921	ILMN_2972478	0.011206	6.24E-05	-8.0513942	2.38145	Nlgn2
1.42272582	ILMN_2744657	0.009729	5.01E-05	-8.3166269	2.59809	
1.45114518	ILMN_2777769	0.056281	1.05E-03	-5.1889167	-0.48847	H2-DMa
1.45715987	ILMN_2605819	0.031091	3.80E-04	-6.1129272	0.55619	Egln3
1.48421237	ILMN_3128992	0.010813	5.94E-05	-8.1098436	2.42981	Cd27
1.49284332	ILMN_2866856	0.111066	3.30E-03	-4.2483775	-1.68458	H2-DMa
1.49551887	ILMN_2742426	0.004609	9.40E-06	-10.5897616	4.19517	
1.4980733	ILMN_2814927	0.071234	1.56E-03	-4.8491236	-0.90479	Chga
1.50098481	ILMN_1228942	0.025607	2.79E-04	-6.4172297	0.87371	Cd59a
1.51127481	ILMN_3133448	0.008529	3.96E-05	-8.6078934	2.82794	Mfge8
1.5179378	ILMN_2887992	0.008932	4.31E-05	-8.5004896	2.74414	Mef2c
1.53004995	ILMN_1215919	0.018025	1.62E-04	-6.9741193	1.42332	Egfl7
1.54960726	ILMN_2690460	0.04501	7.25E-04	-5.5120619	-0.10887	Jakmip1
1.56373004	ILMN_2732465	0.00619	2.04E-05	-9.4777615	3.46779	Mef2c
1.56525322	ILMN_1256824	0.006593	2.21E-05	-9.3669575	3.38996	Gpr171
1.56999115	ILMN_1230587	0.041413	6.29E-04	-5.6402968	0.03745	Lpxn
1.57229261	ILMN_2662926	0.090082	2.32E-03	-4.5275278	-1.31529	Egr1
1.58907519	ILMN_2588474	0.032394	4.24E-04	-6.0079263	0.44368	Homer2
1.5896488	ILMN_1247704	0.008941	4.36E-05	-8.4861313	2.73285	Hmgn3
1.60123364	ILMN_2644719	0.008529	3.99E-05	-8.5978146	2.82012	Hmgn3
1.61555113	ILMN_2595857	0.004596	9.24E-06	-10.6161104	4.21129	Ankrd37
1.62756257	ILMN_3143483	0.000424	7.49E-08	-20.6945505	8.00653	Lat2
1.63401758	ILMN_2819558	0.022445	2.26E-04	-6.6298667	1.08825	
1.6470714	ILMN_3163288	0.027214	3.13E-04	-6.3038483	0.75687	Egfl7
1.66182894	ILMN_3130403	0.011678	6.65E-05	-7.9745658	2.31736	Smagp
1.66643876	ILMN_1231340	0.000698	3.24E-07	-16.9381609	7.00946	Myadml2
1.6676489	ILMN_1218266	0.000345	3.44E-08	-23.0030967	8.47143	Meis1
1.68854807	ILMN_1214950	0.006889	2.60E-05	-9.1495521	3.23422	Mef2c
1.69655158	ILMN_3131478	0.053426	9.62E-04	-5.2614409	-0.4019	Bcat1
1.70470653	ILMN_3022688	0.383479	2.56E-02	-2.7813772	-3.79627	Xist
1.74285999	ILMN_1253919	0.011861	6.87E-05	-7.9364035	2.28529	Ccl3
1.78423675	ILMN_1234072	0.001882	2.12E-06	-13.0596012	5.51765	Pdlim1
1.80273554	ILMN_2476329	0.005961	1.94E-05	-9.5500291	3.51801	Whrn
1.83230515	ILMN_1244618	0.033039	4.46E-04	-5.9604896	0.39235	Dlk1
1.90986776	ILMN_1247198	0.005692	1.78E-05	-9.6671217	3.59845	Smagp
1.9300147	ILMN_1247199	0.004816	1.24E-05	-10.1798479	3.93795	H2afy
1.93248429	ILMN_2670690	0.005024	1.38E-05	-10.0253738	3.8378	H2-Ob
1.94056264	ILMN_2733605	0.004786	1.20E-05	-10.2322972	3.97155	Dnajc6
1.96433681	ILMN_1230224	0.005024	1.39E-05	-10.0178808	3.8329	Dnajc6
1.96803583	ILMN_3123341	0.33442	2.07E-02	-2.9260828	-3.57882	Xist
1.97984862	ILMN_1256817	0.005363	1.54E-05	-9.8706368	3.73566	Slpi
1.98279728	ILMN_1248401	0.00107	6.17E-07	-15.4976578	6.52217	Meis1
2.02195995	ILMN_2723108	0.004786	1.22E-05	-10.2086372	3.95642	Tsc22d1
2.04022794	ILMN_1254622	0.003709	5.32E-06	-11.4772669	4.71252	Pcp4l1
2.07549202	ILMN_2702374	0.000734	3.73E-07	-16.6133773	6.90551	Ppm1e
2.208295	ILMN_2621038	0.001572	1.45E-06	-13.766612	5.83549	Hoxa7
2.30439231	ILMN_1258462	0.001152	7.89E-07	-14.9807351	6.32963	Hoxa9
2.32453151	ILMN_2732795	0.005501	1.62E-05	-9.8010746	3.68913	Myl10
2.39049234	ILMN_1218264	0.011861	6.93E-05	-7.9269589	2.27733	Vldlr
2.39248239	ILMN_2764588	0.013407	8.68E-05	-7.6648375	2.05259	Igfbp7
2.43993588	ILMN_2645155	0.006594	2.25E-05	-9.343589	3.37342	Hoxa9
2.55717194	ILMN_2515601	0.012728	7.94E-05	-7.7685285	2.14238	Vldlr
2.63003896	ILMN_2796472	0.008919	4.26E-05	-8.5150512	2.75556	Vldlr
2.63373629	ILMN_1228235	0.403259	2.79E-02	-2.7241473	-3.88245	Ctse
2.6703965	ILMN_2638487	0.000508	1.07E-07	-19.7073993	7.77694	Eya1
2.74011703	ILMN_1217978	0.000508	1.48E-07	-18.8516299	7.56056	Hoxa5
2.84974201	ILMN_2430513	0.000563	2.24E-07	-17.8193286	7.27565	Eya1
3.01095559	ILMN_1224540	0.015787	1.21E-04	-7.2925739	1.72034	Eltd1
3.08996918	ILMN_2706462	0.001572	1.53E-06	-13.6695168	5.79322	Il12a
3.14089545	ILMN_2771738	0.006889	2.62E-05	-9.1426991	3.22925	Dlk1
3.52903507	ILMN_1224091	0.438223	3.25E-02	-2.6228303	-4.0351	Xist
3.75146597	ILMN_2475156	0.430699	3.14E-02	-2.6440745	-4.00309	Xist
4.0103854	ILMN_2649199	0.000345	3.71E-08	-22.7717609	8.42891	Hpgd
